priority_rank,brand,route,countries,categories,market_roles,official_url,affiliate_target,next_action,cash_status
571,FitKitchen Czech Republic,/go/fitkitchen-czech-republic/,Czech Republic,diet prepared meals,Prague and Brno boxed-diet delivery service for healthy portions and daily structured eating,https://fitkitchen.cz/,direct partnership,Add to Czech local boxed diet alternatives,route_ready_affiliate_pending
572,Fitlicious Meal Prep,/go/fitlicious-meal-prep/,US,prepared meals,Los Angeles chef-prepared health-focused meal-prep service delivering fresh meals on Wednesdays and Sundays,https://fitliciousmealprep.com/,direct partnership,Add to Los Angeles prepared-meal alternatives,route_ready_affiliate_pending
573,Fitmeal Thailand,/go/fitmeal-thailand/,Thailand,high protein meal prep,Thailand fitness meal prep and prepared meal delivery candidate,https://fitmeal.me/,direct partnership,Add to Thailand high-protein meal-prep pages,route_ready_affiliate_pending
574,Fitmeals India,/go/fitmeals-india/,India,diet prepared meals,"Hyderabad healthy meal-plan subscription with weight-loss, healthy, and muscle-building meal plans",https://www.fitmeals.co.in/,direct partnership,Add to India regional diet prepared meal pages,route_ready_affiliate_pending
575,Fitness Kitchen LA,/go/fitness-kitchen-la/,US,prepared meals,Los Angeles prepared meal delivery and meal prep candidate,https://fitnesskitchenla.com/,direct partnership,Add to LA prepared meal regional pages,route_ready_affiliate_pending
576,Fitness Meals Greece,/go/fitness-meals-greece/,Greece,high protein meal prep,Greece fitness meal prep delivery candidate,https://fitnessmeals.gr/,direct partnership,Add to Greece high-protein meal-prep pages,route_ready_affiliate_pending
577,Fly By Jing,/go/fly-by-jing/,US,meal starter kits,"Chinese pantry sauces, meal starters, and quick dinner helpers for Asian-inspired home meals",https://flybyjing.com/,retail affiliate,Add to meal starter and pantry dinner helper pages,route_ready_affiliate_pending
578,FNF Meals,/go/fnf-meals/,US,prepared meals,Long Island meal-prep company delivering fresh organic and non-GMO prepared meals across Nassau and Suffolk County,https://fnfmeals.com/,direct partnership,Add to Long Island prepared-meal alternatives,route_ready_affiliate_pending
579,Food & Fit,/go/food-and-fit/,Mexico,diet prepared meals,Mexico diet and healthy prepared meal candidate with local delivery caveats,https://foodandfit.mx/,direct partnership,Add to Mexico diet prepared meal challenger pages,route_ready_affiliate_pending
580,Food & Trees for Africa Meals,/go/food-and-trees-for-africa-meals/,South Africa,non-commercial meal support,South African food support/non-commercial route relevant for meal-help searches but not a consumer buying path,https://trees.org.za/,not ready,"Account for non-commercial food support, do not monetize",route_ready_affiliate_pending
581,Food Affair Kenya,/go/food-affair-kenya/,Kenya,prepared meals,Kenyan pre-portioned meal pack and healthy food candidate with social evidence,https://www.instagram.com/thefoodaffairkenya/,direct partnership after route check,Add with social-route caveat until official checkout is verified,route_ready_affiliate_pending
582,Food for Fitness Greece,/go/food-for-fitness-greece/,Greece,diet prepared meals,Greek healthy meal prep and diet prepared meal candidate,https://foodforfitness.gr/,direct partnership,Add to Greece diet prepared meal pages,route_ready_affiliate_pending
583,Food Revolution Hungary,/go/food-revolution-hungary/,Hungary,prepared meals,Hungary premium chef-prepared meal delivery and diet service with weekly menu and sign-up route,https://foodrevo.hu/en/,direct partnership,Add as Hungary premium prepared meal anchor,route_ready_affiliate_pending
584,FOOD4FITNESS Portugal,/go/food4fitness-portugal/,Portugal,high protein meal prep,Portugal high-protein weekly meal prep with meal planner packs and Lisbon store route,https://www.food4fitness.pt/,direct partnership,Add to Portugal high-protein and fitness meal prep pages,route_ready_affiliate_pending
585,FoodChéri,/go/foodch-ri/,France,prepared meals,French chef-prepared meal delivery brand connected to Seazon and office/home meal demand,https://www.foodcheri.com/,direct partnership after consumer-route check,Account for France prepared-meal demand with B2B/consumer caveat,route_ready_affiliate_pending
586,FoodCourt,/go/foodcourt/,Nigeria,prepared meals marketplace,Nigeria food and meal delivery app with prepared meal marketplace relevance,https://www.foodcourtapp.com/,direct partnership after app route check,Add to Nigeria app-led prepared meal marketplace pages,route_ready_affiliate_pending
587,Foodette,/go/foodette/,France,meal kit,French recipe basket and meal-kit brand delivering ingredients and recipes for home cooking,https://www.foodette.fr/,direct partnership,Add to France meal-kit challenger pages,route_ready_affiliate_pending
588,Foodie Fit,/go/foodie-fit/,US,high protein meal prep,"Las Vegas healthy meal-prep brand with grab-and-go locations, custom meals, and local ordering",https://foodiefit.com/,direct partnership,Add to Las Vegas high-protein meal-prep pages,route_ready_affiliate_pending
589,FoodKit,/go/foodkit/,Romania,diet prepared meals,Romanian prepared meal and healthy subscription candidate,https://foodkit.ro/,direct partnership,Add to Romania meal prep challenger pages,route_ready_affiliate_pending
590,Foodmaker,/go/foodmaker/,Belgium,prepared meals,Belgian healthy prepared meal and salad brand with retail and ready-meal relevance,https://www.foodmaker.be/,direct partnership,Add to Belgium healthy prepared-meal pages,route_ready_affiliate_pending
591,Foody Colombia,/go/foody-colombia/,Colombia,prepared meals,Bogota natural prepared meals that heat in minutes with programmed ordering,https://www.foody.com.co/,direct partnership,Add to Colombia prepared meal pages with Bogota caveat,route_ready_affiliate_pending
592,Forkful,/go/forkful/,US,prepared meals,"prepared non-frozen microwave meal delivery brand with vegan, keto, paleo, gluten-free, high-protein, and GLP-1 relevance",https://www.eatforkful.com/,affiliate application,Add to US prepared meal and GLP-1-friendly pages,route_ready_affiliate_pending
593,FrescoFrigo,/go/frescofrigo/,Italy,prepared meals,Italian smart-fridge and ready-meal workplace food service with prepared-meal relevance but not normal DTC checkout,https://www.frescofrigo.it/,direct partnership after fit check,Account for office prepared-meal demand but separate from consumer rankings,route_ready_affiliate_pending
594,Fresh Fit Foods Naples,/go/fresh-fit-foods-naples/,US,prepared meals,"Southwest Florida prepared-meal delivery service with healthy, senior, plant-based, and paleo meal-plan options",https://freshfitnaples.com/,direct partnership,Add to Naples and Fort Myers prepared-meal pages,route_ready_affiliate_pending
595,Fresh Fit Meals,/go/fresh-fit-meals/,US,diet prepared meals,Des Moines dietitian-designed meal-prep restaurant with online pre-ordering and local delivery signals,https://freshfitmeals.com/,direct partnership,Add to Iowa diet meal-prep alternatives,route_ready_affiliate_pending
596,Fresh Meal Prep Nigeria,/go/fresh-meal-prep-nigeria/,Nigeria,high protein meal prep,Nigeria healthy prepared meal delivery with chef-prepared portioned meals delivered ready to reheat,https://thefreshmealprep.com/,direct partnership,Add as Nigeria high-protein and healthy meal-prep anchor,route_ready_affiliate_pending
597,Fresheasy,/go/fresheasy/,South Korea,meal kit,South Korean leading meal-kit brand referenced in K-food trade sources as a major industry player,https://www.fresheasy.co.kr/,direct partnership,Add to Korea meal-kit anchor pages,route_ready_affiliate_pending
598,FreshMenu,/go/freshmenu/,India,prepared meals,"India chef-curated food delivery app covering Bangalore, Mumbai, Gurgaon, and Delhi for meal subscription and quick prepared meal demand",https://play.google.com/store/apps/details?id=com.freshmenu,direct partnership after active route check,Add to India prepared meal app pages with app-route caveat,route_ready_affiliate_pending
599,Frichti,/go/frichti/,France,prepared meals,historical French prepared-meal and grocery delivery brand with alternatives search demand,https://www.frichti.co/,not ready,Use only for alternatives pages until active consumer route is proven,route_ready_affiliate_pending
600,Frizata,/go/frizata/,Argentina,frozen prepared meals,Argentina frozen food delivery brand with direct-to-home freezer stocking demand and broad prepared-food range,https://www.frizata.com/,direct partnership,Add to Argentina frozen prepared meal and freezer meal pages,route_ready_affiliate_pending
601,Front Porch Pantry,/go/front-porch-pantry/,US,prepared meals,"Texas-based fully cooked meal delivery service shipping fresh prepared meals across Texas, Oklahoma, Louisiana, and Arkansas",https://frontporchpantry.com/,direct partnership,Add to South/Central US prepared-meal and family dinner pages,route_ready_affiliate_pending
602,Fuel Meals Vietnam,/go/fuel-meals-vietnam/,Vietnam,high protein meal prep,Da Nang macro meal delivery brand with fresh chef-crafted healthy meal prep and custom plans,https://fuelmealsvn.com/,direct partnership,Add as Vietnam/Da Nang macro meal-prep anchor,route_ready_affiliate_pending
603,FuelHub,/go/fuelhub/,UK,high protein prepared meals,UK chef-prepared high-protein and macro-balanced meal-prep delivery brand,https://fuelhub.co.uk/,affiliate application,Add to UK high-protein meal-prep pages,route_ready_affiliate_pending
604,Full Circle,/go/full-circle/,US,produce box,Pacific Northwest organic produce and grocery delivery for dinner planning,https://www.fullcircle.com/,affiliate application,Add to regional produce box pages,route_ready_affiliate_pending
605,Fulton Fish Market,/go/fulton-fish-market/,US,seafood dinner delivery,online seafood delivery marketplace for fresh/frozen dinner protein planning,https://fultonfishmarket.com/,affiliate application,Add to seafood dinner delivery and grocery helper pages,route_ready_affiliate_pending
606,Gardein,/go/gardein/,US,frozen plant-based meals,plant-based frozen bowls and meatless meal starters for vegan dinner shortcuts,https://www.gardein.com/meatless,retail affiliate,Add to plant-based frozen meal pages,route_ready_affiliate_pending
607,Gardencup,/go/gardencup/,US,ready-to-eat salads and bowls,"fresh ready-to-eat salads, bowls, soups, and snacks delivered nationwide",https://gardencup.com/,affiliate application,"Add to ready-to-eat salad, lunch, and healthy prepared meal pages",route_ready_affiliate_pending
608,getUP!,/go/getup/,Peru,diet prepared meals,Lima personalized healthy meal-plan delivery with certified nutritionist positioning,https://getup.com.pe/,direct partnership,Add as Peru/Lima diet prepared meal anchor,route_ready_affiliate_pending
609,Ginger & Lime,/go/ginger-and-lime/,UK,prepared meals,UK fresh prepared meal delivery and meal-plan candidate for premium healthy eating,https://gingerandlime.com/,direct partnership,Add to UK premium prepared meal challenger pages,route_ready_affiliate_pending
610,Go Natural,/go/go-natural/,Portugal,prepared meals,Portuguese healthy food and prepared meal brand with easy dinner and grocery relevance,https://www.gonatural.pt/,direct partnership,Add to Portugal healthy prepared meal pages,route_ready_affiliate_pending
611,GoClean Malaysia,/go/goclean-malaysia/,Malaysia,diet prepared meals,Kuala Lumpur and Petaling Jaya healthy food delivery and catering route with daily changing menu,https://goclean.oddle.me/en_MY,direct partnership,Add to KL/PJ healthy meal delivery alternatives,route_ready_affiliate_pending
612,Good Chop,/go/good-chop/,US,protein box,meat and seafood subscription box for dinner protein delivery,https://www.goodchop.com/,affiliate application,Add to protein box and grocery dinner helper pages,route_ready_affiliate_pending
613,Good Food Made Simple,/go/good-food-made-simple/,US,frozen prepared meals,frozen breakfast and entree brand with simple-ingredient convenience meal positioning,https://www.goodfoodmadesimple.com/,retail affiliate,Add to frozen prepared meal challenger pages,route_ready_affiliate_pending
614,Good Measure Meals,/go/good-measure-meals/,US,medically tailored meals,Atlanta medically tailored meal delivery brand with registered-dietitian-designed heart-healthy and diabetic-friendly meals,https://www.goodmeasuremeals.com/,direct partnership after eligibility route check,Add to medically tailored meal pages with eligibility caveat,route_ready_affiliate_pending
615,Goodles,/go/goodles/,US,shelf-stable meals,protein-forward boxed mac and noodles for quick pantry dinner searches,https://www.goodles.com/,retail affiliate,Add to shelf-stable pantry dinner helper pages,route_ready_affiliate_pending
